Sequence name
PCV_099495
PCV_061693
PCV_027515
PCV_093846
PCV_016506
PCV_052574
PCV_033593
PCV_071938
PCV_030546
PCV_005148
PCV_099514
PCV_013379
PCV_027353
PCV_024017
PCV_047788
PCV_065264
PCV_023815
PCV_063817
PCV_081884
PCV_074821
PCV_083529
PCV_059215
PCV_085276
PCV_012104
PCV_056278
PCV_056640
PCV_099549
PCV_057677
PCV_035684
PCV_057125
PCV_058466
PCV_095416
PCV_042610
PCV_033510
PCV_090151
PCV_077647
PCV_099618
PCV_067545
PCV_090144
PCV_038119
PCV_042604
PCV_047953
PCV_071533
PCV_057708
PCV_027504
PCV_047927
PCV_038543
PCV_018126
PCV_012207
PCV_036805
PCV_099656
PCV_098735
PCV_029731
PCV_069842
PCV_042213
PCV_073148
PCV_088448
PCV_066431
PCV_064046
PCV_099273
PCV_004095
PCV_044788
PCV_076779
PCV_057038
PCV_018381
PCV_059269
PCV_062488
PCV_097459
PCV_080286
PCV_007261
PCV_087330
PCV_090520
PCV_099516
PCV_021386
PCV_024232
PCV_048288
PCV_044514
PCV_071230
PCV_017342
PCV_030365
PCV_010704
PCV_040735
PCV_020470
PCV_010352
PCV_000354
PCV_010512
PCV_092689
PCV_026104
PCV_074299
PCV_070568
PCV_006634
PCV_050757
PCV_005565
PCV_018517
PCV_029809
PCV_040772
PCV_050503
PCV_004463
PCV_047535
PCV_025055
PCV_044340
PCV_000438
PCV_026358
PCV_085903
PCV_085110
PCV_040549
PCV_016977
PCV_027843
PCV_029385
PCV_044798
PCV_037182
PCV_018687
PCV_094134
PCV_098318
PCV_058145
PCV_050867
PCV_020593
PCV_003376
PCV_090259
PCV_019176
PCV_074782
PCV_069253
PCV_029507
PCV_078043
PCV_004487
PCV_011329
PCV_050527
PCV_090887
PCV_099531
PCV_048369
PCV_076798
PCV_040224
PCV_054114
PCV_023673
PCV_036102
PCV_066661
PCV_015047
PCV_012286
PCV_026981
PCV_069072
PCV_081669
PCV_036770
PCV_017920
PCV_049678
PCV_047225
PCV_098611
PCV_085583
PCV_004542
PCV_036983
PCV_007484
PCV_092759
PCV_027754
PCV_011602
PCV_005295
PCV_013799
